City,County,Employees,FTemployees,MedianPayK,MedianPayBenesK,TotalCompM,CompCostPerResidentK,MedianPrivatePayK,medianHomeK,medianMortgageK,medianNonMortK,medianRentK,retailK,medianIncomeK,perCapIncomeK,popdensityK,populationK,black,indian,asian,islander,mixed,latino,white,blackLatInd,foreign,homeownerRate,nonenglish,hsgrad,bachelors,noninsured,povertyRate,householdSize,commuteTime
Hemet,Riverside,310,235,77.373,112.47,34.129162,0.412,34.802,139.4,1.319,0.406,0.979,10.432,35.609,17.751,3.026247756,84.281,0.08,0.01,0.027,0.003,0.05,0.398,0.433,0.488,0.148,0.558,0.291,0.793,0.112,0.182,0.244,2.78,33.3
Hercules,Contra Costa,158,66,86.756,110.548,9.399586,0.375,60.013,422.2,2.388,0.67,1.693,2.738,103.044,38.133,4.08373591,25.36,0.18,0.002,0.467,0.001,0.072,0.13,0.147,0.312,0.354,0.789,0.469,0.926,0.433,0.084,0.051,3.06,40.7
Hermosa Beach,Los Angeles,249,114,82.551,100.476,18.445598,0.935,100.804,1166.8,NA,0.598,1.963,8.152,121.345,87.379,13.83846154,19.789,0.013,0.009,0.047,0,0.042,0.078,0.812,0.1,0.098,0.473,0.097,0.991,0.735,0.048,0.046,2.14,32.2
Hesperia,San Bernardino,240,128,57.092,70.867,13.51572,0.145,36.364,172.8,1.319,0.352,1.079,6.685,46.446,17.037,1.282134063,93.724,0.054,0.018,0.016,0.002,0.028,0.534,0.349,0.606,0.167,0.616,0.325,0.762,0.096,0.16,0.248,3.53,36.4
Hidden Hills,Los Angeles,4,4,83.621,98.364,0.41861,0.266,156.25,172.8,1.319,0.352,1.079,6.685,46.446,17.037,1.282134063,93.724,0.054,0.018,0.016,0.002,0.028,0.534,0.349,0.606,0.167,0.616,0.325,0.762,0.096,0.16,0.248,3.53,36.4
Highland,San Bernardino,50,28,67.175,90.02,3.797086,0.069,38.022,269,1.83,0.443,0.969,4.337,53.504,22.307,2.93008,54.939,0.084,0.01,0.087,0,0.05,0.471,0.298,0.565,0.222,0.64,0.43,0.764,0.2,0.143,0.207,3.51,25.6
Hillsborough,San Mateo,109,76,104.77,142.637,13.110333,1.158,151.372,NA,NA,NA,2.483,NA,216.292,116.164,1.846688207,11.431,0.016,0.001,0.272,0,0.062,0.045,0.603,0.062,0.227,0.92,0.276,0.975,0.771,0.02,0.028,3.05,28.1
Hollister,San Benito,248,3,27.302,28.428,17.005848,0.46,42.212,365.9,2.144,0.534,1.315,8.815,71.948,24.102,5.189711934,37.833,0.008,0.01,0.023,0.002,0.051,0.644,0.263,0.662,0.223,0.588,0.447,0.746,0.15,0.135,0.119,3.54,32.6
Holtville,Imperial,49,20,47.353,56.816,1.420103,0.227,31.563,150.9,1.254,0.346,0.716,1.542,28.115,13.867,5.595652174,6.435,0.003,0.02,0.012,0,0.027,0.74,0.198,0.763,0.314,0.559,0.739,0.579,0.132,0.102,0.325,3.58,27.2
Hughson,Stanislaus,36,13,53.929,85.616,1.459273,0.203,54.811,256.3,1.711,0.518,1.125,3.16,54.352,26.166,4.075274725,7.417,0.022,0.004,0.07,0.007,0.029,0.265,0.603,0.291,0.116,0.645,0.263,0.804,0.199,0.12,0.184,3.05,28.5
Huntington Beach,Orange,1661,829,107.786,148.079,150.198491,0.755,61.774,659.7,2.651,0.568,1.686,12.868,85.312,43.863,7.501009346,200.652,0.012,0.004,0.113,0.004,0.045,0.192,0.63,0.208,0.165,0.584,0.225,0.923,0.419,0.103,0.09,2.62,28.6
Huntington Park,Los Angeles,280,128,85.472,112.842,17.740451,0.301,24.19,322.3,1.754,0.403,0.961,10.612,35.629,12.767,19.56112957,58.879,0.006,0.003,0.007,0.003,0.01,0.957,0.015,0.966,0.483,0.255,0.94,0.427,0.061,0.272,0.289,3.98,30.3
Huron,Fresno,43,15,43.829,47.566,1.239521,0.181,26.159,119.1,0.998,0.385,0.663,2.699,25.321,10.135,4.365408805,6.941,0,0,0,0,0.011,0.968,0.021,0.968,0.527,0.315,0.937,0.247,0.015,0.283,0.39,4.04,28.2
Imperial,Imperial,117,57,59.857,63.357,4.269975,0.257,53.295,194.2,1.683,0.451,1.233,5.62,85.503,24.433,2.935665529,17.203,0.027,0.009,0.022,0.002,0.058,0.725,0.157,0.761,0.221,0.746,0.632,0.849,0.209,0.12,0.053,3.8,19.9
