City,County,Employees,FTemployees,MedianPayK,MedianPayBenesK,TotalCompM,CompCostPerResidentK,MedianPrivatePayK,medianHomeK,medianMortgageK,medianNonMortK,medianRentK,retailK,medianIncomeK,perCapIncomeK,popdensityK,populationK,black,indian,asian,islander,mixed,latino,white,blackLatInd,foreign,homeownerRate,nonenglish,hsgrad,bachelors,noninsured,povertyRate,householdSize,commuteTime
Redlands,San Bernardino,651,371,77.996,103.655,54.910656,0.779,48.299,326.8,2.011,0.506,1.177,31.768,66.514,31.721,1.973097149,71.288,0.056,0.007,0.075,0.005,0.052,0.296,0.51,0.359,0.14,0.579,0.249,0.901,0.378,0.103,0.141,2.82,23
Redondo Beach,Los Angeles,850,360,100.618,128.949,62.137997,0.918,83.649,775.3,3.119,0.624,1.8,12.848,103.782,54.789,10.94629032,67.867,0.03,0.004,0.124,0.001,0.062,0.168,0.611,0.202,0.193,0.496,0.235,0.962,0.571,0.065,0.05,2.42,28.4
Redwood City,San Mateo,970,503,120.086,162.786,99.663639,1.206,67.208,924.3,3.262,0.662,1.807,20.968,90.461,46.318,4.374356334,84.95,0.023,0.005,0.128,0.007,0.042,0.377,0.419,0.405,0.327,0.507,0.465,0.852,0.443,0.108,0.091,2.75,24.8
Reedley,Fresno,293,89,53.301,76.464,11.084806,0.438,26.573,170.3,1.302,0.391,0.9,5.902,43.907,17.002,5.035826772,25.582,0.006,0.003,0.035,0,0.033,0.738,0.184,0.747,0.316,0.602,0.645,0.622,0.147,0.218,0.266,3.49,22.7
Rialto,San Bernardino,500,266,102.192,142.14,48.598675,0.474,32.487,236.1,1.553,0.445,1.11,5.326,52.347,17.092,4.622550336,103.314,0.12,0.006,0.023,0.001,0.037,0.715,0.098,0.841,0.282,0.631,0.6,0.682,0.105,0.187,0.188,3.98,31.3
Richmond,Contra Costa,950,655,111.313,153.999,121.647554,1.123,40.434,330.2,1.931,0.481,1.242,10.257,57.107,26.965,3.651912205,109.813,0.218,0.003,0.149,0.005,0.059,0.394,0.172,0.615,0.342,0.496,0.519,0.775,0.263,0.167,0.166,2.89,34
Ridgecrest,Kern,172,87,65.454,75.915,8.31667,0.29,44.081,166.5,1.286,0.385,0.859,9.616,59.78,28.095,1.38184882,28.701,0.055,0.012,0.048,0.005,0.053,0.188,0.639,0.255,0.106,0.61,0.194,0.894,0.279,0.091,0.16,2.57,14.3
Rio Vista,Solano,68,37,77.896,102.484,4.746172,0.589,54.122,269.2,1.603,0.442,1.349,8.511,59.05,35.709,1.291629297,8.641,0.066,0.003,0.091,0,0.016,0.078,0.746,0.147,0.112,0.77,0.14,0.919,0.244,0.165,0.106,2.03,38.6
Ripon,San Joaquin,163,76,61.108,85.797,7.973352,0.532,58.145,352.5,2.108,0.503,1.251,13.889,79.354,33.686,2.912052731,15.463,0.006,0.007,0.024,0,0.057,0.239,0.668,0.252,0.093,0.69,0.163,0.908,0.26,0.073,0.103,2.94,28.5
Riverbank,Stanislaus,98,45,54.469,73.685,3.817543,0.16,39.786,219.7,1.499,0.421,1.044,9.988,61.87,22.257,5.963080685,24.389,0.009,0.008,0.041,0.007,0.05,0.547,0.339,0.564,0.25,0.664,0.509,0.748,0.141,0.114,0.11,3.36,28.7
Riverside,Riverside,2688,1942,88.653,121.914,280.898812,0.881,36.947,286.6,1.77,0.44,1.194,13.158,58.979,23.061,4.001996549,324.722,0.058,0.008,0.067,0.003,0.049,0.505,0.31,0.571,0.224,0.545,0.416,0.79,0.226,0.163,0.178,3.34,29.9
Rocklin,Placer,418,198,93.692,122.415,30.306224,0.5,67.208,381,2.254,0.628,1.391,10.436,84.121,37.295,3.213254862,62.787,0.019,0.006,0.086,0.001,0.061,0.126,0.701,0.151,0.11,0.657,0.157,0.96,0.41,0.075,0.085,2.8,25.9
Rohnert Park,Sonoma,355,141,81.425,99.921,19.753275,0.471,46.39,341,1.89,0.588,1.407,15.463,60.333,27.821,6.088857143,42.622,0.02,0.005,0.058,0.002,0.061,0.229,0.624,0.254,0.148,0.523,0.235,0.889,0.257,0.12,0.155,2.64,26
Rolling Hills,Los Angeles,7,4,99.912,119.295,0.620856,0.352,155.417,1096.4,3.994,0.881,2.945,18.174,129.728,65.277,2.305602241,8.231,0.022,0.003,0.301,0,0.055,0.098,0.521,0.123,0.256,0.925,0.33,0.98,0.662,0.064,0.045,2.73,31.1
Rolling Hills Estates,Los Angeles,36,17,85.95,106.895,2.304823,0.28,115.5,1096.4,3.994,0.881,2.945,18.174,129.728,65.277,2.305602241,8.231,0.022,0.003,0.301,0,0.055,0.098,0.521,0.123,0.256,0.925,0.33,0.98,0.662,0.064,0.045,2.73,31.1
Rosemead,Los Angeles,199,49,67.11,98.921,6.548952,0.12,30.98,455.1,2.064,0.422,1.206,8.474,45.51,17.839,10.5620155,54.5,0.002,0.006,0.592,0.002,0.015,0.342,0.042,0.35,0.556,0.47,0.836,0.656,0.163,0.186,0.206,3.67,28.7
Roseville,Placer,2127,1048,93.797,132.984,162.885724,1.269,59.94,355.9,2.071,0.556,1.359,33.405,78.446,36.345,3.662921038,132.671,0.018,0.004,0.094,0.002,0.054,0.146,0.682,0.168,0.13,0.645,0.177,0.944,0.377,0.08,0.086,2.7,25.8
Sacramento,Sacramento,5868,3062,79.814,106.135,403.426969,0.832,39.254,259.4,1.657,0.445,1.057,9.176,52.071,27.146,5.057536765,495.234,0.134,0.007,0.179,0.015,0.064,0.274,0.327,0.415,0.224,0.468,0.375,0.837,0.307,0.126,0.214,2.65,24.9
Salinas,Monterey,822,456,101.904,138.131,79.132253,0.507,30.977,303.8,1.842,0.424,1.177,12.482,52.338,18.347,6.782484901,157.218,0.015,0.008,0.064,0.001,0.026,0.748,0.138,0.771,0.379,0.432,0.701,0.595,0.122,0.196,0.189,3.8,23.3
San Anselmo,Marin,102,33,70.892,93.062,3.520903,0.278,96.658,914.4,3.402,0.756,1.638,9.706,107.818,62.456,4.701119403,12.599,0.008,0.011,0.022,0,0.036,0.057,0.866,0.076,0.073,0.733,0.103,0.972,0.688,0.053,0.042,2.38,35.5
San Bernardino,San Bernardino,1436,732,67.283,91.654,110.698239,0.515,30.312,176.8,1.389,0.394,0.947,12.239,38.456,14.922,3.652685811,216.239,0.136,0.008,0.048,0.003,0.047,0.607,0.151,0.751,0.233,0.467,0.505,0.679,0.112,0.2,0.323,3.56,27.3
San Bruno,San Mateo,438,218,99.913,145.478,38.097736,0.891,56.144,668.7,2.67,0.472,1.834,12.538,89,39,7.838868613,42.957,0.016,0.001,0.278,0.03,0.058,0.273,0.344,0.29,0.346,0.561,0.498,0.893,0.37,0.096,0.058,2.85,27.5
San Carlos,San Mateo,145,59,93.864,121.382,9.3445,0.315,114.272,1107.6,3.709,0.743,1.849,16.845,135.22,69.738,5.378519856,29.797,0.01,0,0.134,0.003,0.047,0.1,0.706,0.11,0.187,0.706,0.22,0.974,0.636,0.044,0.037,2.59,27.8
San Clemente,Orange,513,148,78.91,101.71,20.920559,0.321,79.241,801.1,3.219,0.717,1.696,10.33,97.21,51.566,3.490593266,65.309,0.006,0.002,0.033,0.007,0.051,0.183,0.718,0.191,0.118,0.645,0.176,0.95,0.478,0.098,0.071,2.64,29.2
San Diego,San Diego,12443,8014,75.639,85.012,906.551397,0.659,50.836,488.6,2.33,0.526,1.427,13.352,68.117,35.199,4.325563517,1406.63,0.063,0.005,0.164,0.004,0.048,0.295,0.421,0.363,0.265,0.465,0.408,0.875,0.436,0.137,0.15,2.73,23.5
San Dimas,Los Angeles,176,66,69.432,85.26,7.53845,0.221,57.267,481,2.339,0.589,1.599,15.958,79.081,35.764,2.283111702,34.338,0.029,0.008,0.136,0.001,0.063,0.313,0.451,0.35,0.193,0.722,0.285,0.925,0.365,0.077,0.076,2.81,31.6
San Fernando,Los Angeles,198,96,77.373,104.005,12.369728,0.507,35.728,343.5,1.824,0.43,1.189,5.139,55.734,18.383,10.42911392,24.717,0.025,0.006,0.01,0.009,0.024,0.882,0.044,0.913,0.353,0.553,0.798,0.614,0.118,0.174,0.186,4,28.3
San Francisco,San Francisco,40970,32385,89.559,118.801,4284.701637,3.927,76.374,858.8,3.217,0.585,1.632,17.718,87.701,55.567,18.58090463,870.887,0.053,0.003,0.334,0.004,0.048,0.151,0.406,0.207,0.349,0.368,0.44,0.874,0.548,0.079,0.125,2.33,32.4
San Gabriel,Los Angeles,350,149,106.925,155.571,25.864245,0.643,35.931,605.6,2.364,0.549,1.305,11.792,54.015,24.281,9.735903614,40.404,0.006,0.002,0.603,0.004,0.02,0.251,0.115,0.259,0.555,0.472,0.733,0.783,0.309,0.184,0.133,3.2,28
Sanger,Fresno,202,82,72.503,95.187,9.771969,0.394,31.495,168,1.243,0.397,0.859,6.601,42.771,16.496,4.530253623,25.007,0.003,0.004,0.022,0,0.021,0.822,0.129,0.829,0.227,0.577,0.628,0.638,0.131,0.138,0.283,3.66,24.4
San Jacinto,Riverside,62,38,56.99,88.254,3.977271,0.085,34.26,159.7,1.45,0.423,1.005,4.722,48.382,18.301,1.843429238,47.413,0.076,0.018,0.038,0.002,0.048,0.505,0.312,0.599,0.215,0.663,0.431,0.75,0.146,0.178,0.184,3.56,37.5
San Joaquin,Fresno,15,36223,50.829,976.03,#VALUE!,NA,NA,159.7,1.45,0.423,1.005,4.722,48.382,18.301,1.843429238,47.413,0.076,0.018,0.038,0.002,0.048,0.505,0.312,0.599,0.215,0.663,0.431,0.75,0.146,0.178,0.184,3.56,37.5
San Jose,Santa Clara,7897,5231,93.59,156.131,925.498297,0.916,61.239,658,2.776,0.619,1.689,15.245,90.303,37.845,5.808361185,1025.35,0.03,0.005,0.332,0.004,0.049,0.318,0.262,0.353,0.389,0.571,0.565,0.829,0.402,0.102,0.109,3.13,28.5
San Juan Bautista,San Benito,20,6,51.866,61.41,0.498187,0.214,51.484,658,2.776,0.619,1.689,15.245,90.303,37.845,5.808361185,1025.35,0.03,0.005,0.332,0.004,0.049,0.318,0.262,0.353,0.389,0.571,0.565,0.829,0.402,0.102,0.109,3.13,28.5
San Juan Capistrano,Orange,127,62,84.922,128.978,11.245712,0.312,51.48,590.5,2.821,0.603,1.749,20.204,79.393,40.384,2.569121813,36.276,0.005,0.012,0.028,0.001,0.018,0.367,0.569,0.384,0.232,0.746,0.359,0.838,0.369,0.178,0.142,3.01,23.8
San Leandro,Alameda,740,307,96.024,132.739,50.998675,0.572,42.372,426.9,2.134,0.454,1.319,49.98,64.065,30.865,6.781484258,90.465,0.113,0.011,0.313,0.011,0.059,0.264,0.23,0.388,0.361,0.54,0.511,0.827,0.288,0.114,0.103,2.78,31.4
San Luis Obispo,San Luis Obispo,808,357,85.492,120.777,51.574952,1.104,42.376,567.6,2.268,0.447,1.323,30.313,47.777,27.823,3.719561815,47.536,0.024,0.003,0.052,0,0.034,0.165,0.722,0.192,0.094,0.365,0.174,0.926,0.494,0.092,0.327,2.45,15.1
San Marcos,San Diego,538,198,83.113,121.608,31.749332,0.347,46.668,418.2,2.47,0.617,1.388,13.773,63.96,27.753,3.908945425,95.261,0.032,0.006,0.084,0.008,0.058,0.345,0.468,0.383,0.223,0.601,0.353,0.839,0.323,0.142,0.148,3.11,26
San Marino,Los Angeles,266,80,93.908,120.946,12.801668,0.96,104.146,1518.4,NA,1.306,NA,2.011,139.792,72.544,3.545092838,13.365,0.013,0,0.546,0.002,0.026,0.088,0.325,0.101,0.401,0.867,0.565,0.953,0.717,0.04,0.077,2.84,29.8
San Mateo,San Mateo,1075,447,110.955,149.121,88.907413,0.869,68.207,850.2,3.079,0.66,1.871,18.239,95.667,49.227,8.570403957,103.959,0.021,0.003,0.207,0.016,0.055,0.264,0.435,0.288,0.336,0.539,0.449,0.883,0.481,0.085,0.079,2.66,27
San Pablo,Contra Costa,238,133,89.396,114.507,18.321921,0.61,31.307,221.4,1.524,0.445,1.127,7.669,45.503,17.415,11.61064639,30.536,0.129,0.005,0.166,0.004,0.047,0.563,0.086,0.697,0.452,0.378,0.711,0.64,0.122,0.208,0.21,3.25,33.4
San Rafael,Marin,717,319,105.167,166.818,64.421585,1.092,56.542,758.6,3.011,0.636,1.628,30.033,81.36,49.929,3.579477838,58.954,0.027,0.005,0.068,0.002,0.045,0.287,0.566,0.319,0.272,0.529,0.355,0.856,0.483,0.121,0.137,2.48,28.4
San Ramon,Contra Costa,593,234,102.881,145.71,39.291069,0.528,103.552,810.7,3.479,0.79,1.987,9.083,134.188,53.732,4.18820598,75.639,0.023,0.003,0.419,0.003,0.057,0.078,0.417,0.104,0.342,0.691,0.43,0.975,0.668,0.032,0.039,2.97,35.2
Santa Ana,Orange,1770,902,94.769,147.075,163.021956,0.488,27.392,383.9,1.907,0.414,1.354,9.578,54.062,17.04,12.25584892,334.217,0.01,0.006,0.108,0.002,0.017,0.767,0.091,0.783,0.461,0.442,0.821,0.555,0.124,0.258,0.212,4.38,24.8
Santa Barbara,Santa Barbara,2146,852,86.208,117.552,129.777926,1.427,41.599,888,2.851,0.671,1.575,17.156,66.916,38.345,4.72162301,91.93,0.015,0.007,0.037,0.001,0.035,0.373,0.532,0.395,0.241,0.391,0.365,0.851,0.459,0.177,0.139,2.52,16.8
Santa Clara,Santa Clara,1878,807,127.039,177.556,179.993238,1.466,83.521,734.5,2.796,0.479,1.917,17.823,102.533,44.843,6.841281912,125.948,0.036,0.004,0.396,0.008,0.048,0.172,0.336,0.212,0.419,0.432,0.524,0.915,0.567,0.072,0.082,2.7,23.3
Santa Clarita,Los Angeles,1098,327,78.551,100.798,43.873294,0.243,57.475,417.4,2.338,0.633,1.653,15.539,85.042,35.317,3.451669196,181.972,0.03,0.006,0.096,0.001,0.056,0.316,0.496,0.352,0.208,0.681,0.307,0.894,0.335,0.115,0.092,2.99,33.1
Santa Cruz,Santa Cruz,1409,784,68.016,99.44,97.007498,1.532,48.942,707.6,2.651,0.576,1.576,12.464,62.471,31.639,5.060047096,64.465,0.013,0.006,0.09,0.001,0.057,0.2,0.634,0.219,0.136,0.438,0.252,0.936,0.511,0.105,0.241,2.44,22.3
Santa Fe Springs,Los Angeles,407,174,87.085,133.25,29.359034,1.683,40.244,371.4,1.899,0.337,1.289,35.971,58.147,22.922,2.032356257,18.027,0.036,0.018,0.068,0,0.033,0.763,0.083,0.817,0.256,0.611,0.558,0.789,0.15,0.15,0.122,3.36,28.9
Santa Maria,Santa Barbara,803,411,79.008,103.99,57.987286,0.559,27.327,276.8,1.69,0.444,1.205,15.388,51.939,18.069,4.670035149,106.29,0.015,0.006,0.052,0.001,0.026,0.711,0.189,0.732,0.348,0.499,0.645,0.591,0.131,0.245,0.206,3.73,20.5
Santa Monica,Los Angeles,3088,1782,87.228,125.611,303.330749,3.288,77.427,1086.3,3.573,0.872,1.626,54.259,82.123,62.874,10.98313539,92.478,0.041,0.005,0.099,0.001,0.048,0.159,0.647,0.205,0.232,0.275,0.292,0.95,0.67,0.09,0.113,1.95,25.5
Santa Paula,Ventura,190,107,87.524,102.35,12.479153,0.412,31.465,321.8,1.909,0.399,1.142,6.449,51.549,21.236,6.608932462,30.335,0.003,0.006,0.02,0.001,0.034,0.767,0.169,0.776,0.306,0.559,0.615,0.645,0.144,0.182,0.179,3.34,27.4
Santa Rosa,Sonoma,1942,1196,85.026,120.754,164.775943,0.951,42.758,414.8,2.01,0.536,1.371,16.507,62.705,31.574,4.242068297,175.155,0.021,0.016,0.051,0.006,0.061,0.303,0.542,0.34,0.19,0.523,0.313,0.856,0.31,0.126,0.122,2.64,22.3
Santee,San Diego,193,108,110.341,140.985,15.967569,0.28,50.951,363,2.154,0.529,1.467,13.552,77.46,31.611,3.563401109,57.834,0.02,0.004,0.046,0.004,0.069,0.177,0.681,0.201,0.096,0.7,0.152,0.932,0.277,0.078,0.07,2.83,27.2
Saratoga,Santa Clara,99,56,87.327,113.033,7.642239,0.247,151.496,1742.9,NA,1.014,2.41,NA,169.579,79.87,2.485218094,30.767,0.007,0.004,0.458,0,0.031,0.037,0.463,0.048,0.374,0.845,0.444,0.976,0.77,0.025,0.045,2.85,28.9
Sausalito,Marin,151,66,78.526,102.966,8.390251,1.179,109.09,1163.5,3.782,1.291,1.998,16.191,116.325,103.261,4.025423729,7.125,0.024,0.006,0.031,0.003,0.007,0.072,0.857,0.102,0.137,0.492,0.139,0.987,0.723,0.067,0.056,1.75,32.2
Scotts Valley,Santa Cruz,162,51,80.003,117.075,7.540026,0.637,75.526,654.6,2.996,0.745,2.103,14.101,104.15,47.946,2.593043478,11.928,0.006,0,0.079,0,0.038,0.109,0.768,0.115,0.123,0.727,0.143,0.963,0.528,0.041,0.045,2.76,28.7
Seal Beach,Orange,248,87,103.469,134.144,14.249527,0.581,74.477,308.4,2.976,0.383,1.678,13.731,60.222,48.958,2.164747564,24.44,0.012,0.002,0.086,0.001,0.043,0.128,0.729,0.142,0.144,0.747,0.158,0.946,0.469,0.065,0.08,1.96,30.4
Seaside,Monterey,280,113,110.765,147.475,18.649839,0.546,30.602,366.4,1.985,0.373,1.482,15.536,53.406,21.59,3.713419913,34.312,0.077,0.008,0.089,0.027,0.075,0.43,0.294,0.515,0.295,0.385,0.476,0.761,0.216,0.227,0.16,3.24,20
Sebastopol,Sonoma,102,41,100.576,128.133,5.936481,0.778,50.799,543.1,2.16,0.553,1.314,22.118,58.036,36.365,4.15027027,7.678,0.011,0.004,0.012,0.006,0.04,0.122,0.805,0.137,0.112,0.498,0.125,0.946,0.447,0.084,0.107,2.18,25
Selma,Fresno,115,77,68.982,90.014,7.960677,0.328,29.774,164.5,1.37,0.414,0.853,15.09,41.086,15.686,4.78540856,24.597,0.004,0.008,0.05,0.007,0.041,0.774,0.116,0.786,0.244,0.588,0.585,0.611,0.088,0.219,0.231,3.61,24.2
Shafter,Kern,269,158,54.037,72.428,15.316013,0.86,31.727,153.6,1.262,0.395,0.758,4.251,41.085,14.869,0.677817531,18.945,0.018,0.002,0.003,0,0.017,0.821,0.14,0.841,0.281,0.525,0.713,0.574,0.065,0.171,0.235,3.82,24.8
Shasta Lake,Shasta,63,46,72.518,95.52,5.181935,0.51,36.812,157.3,1.333,0.43,0.984,3.639,46.15,20.786,0.930586081,10.162,0.012,0.035,0.01,0.002,0.089,0.119,0.733,0.166,0.035,0.59,0.063,0.876,0.135,0.145,0.197,2.73,20.6
Sierra Madre,Los Angeles,183,59,62.848,73.666,6.622274,0.598,81.414,861.2,3.349,0.596,1.469,3.358,95.256,52.012,3.748135593,11.057,0.013,0.002,0.107,0.003,0.038,0.151,0.686,0.166,0.128,0.609,0.172,0.992,0.651,0.043,0.058,2.51,28.6
Signal Hill,Los Angeles,190,90,84.284,101.055,12.021441,1.054,52.515,446,2.455,0.578,1.217,116.708,70.286,32.382,5.319178082,11.649,0.11,0.003,0.203,0.006,0.055,0.368,0.255,0.481,0.305,0.449,0.487,0.848,0.388,0.191,0.156,2.78,30.9
Simi Valley,Ventura,633,350,101.813,126.076,58.648954,0.465,60.59,472.7,2.441,0.54,1.765,13.293,91.196,38.927,3.045491803,126.327,0.013,0.005,0.09,0.001,0.047,0.246,0.598,0.264,0.186,0.724,0.261,0.91,0.325,0.094,0.06,2.97,29.5
Solana Beach,San Diego,172,47,91.823,111.611,6.888798,0.517,80.75,1045.9,3.165,0.727,1.892,15.261,100.352,62.38,3.820738636,13.449,0.005,0.002,0.031,0.001,0.056,0.13,0.776,0.137,0.156,0.578,0.172,0.944,0.65,0.119,0.065,2.32,23.5
Soledad,Monterey,72,48,72.917,89.522,5.165656,0.201,32.596,251.8,1.594,0.397,1.168,2.986,54.878,12.112,5.809977324,25.622,0.092,0.018,0.021,0.004,0.06,0.672,0.133,0.782,0.299,0.603,0.604,0.553,0.071,0.191,0.154,4.19,24.1
Solvang,Santa Barbara,61,16,69.542,84.979,3.070274,0.553,42.059,658.6,2.606,0.957,1.484,13.031,69.261,40.128,2.387654321,5.802,0,0,0.018,0,0.022,0.267,0.693,0.267,0.177,0.58,0.235,0.937,0.402,0.12,0.11,2.25,22.8
Sonoma,Sonoma,48,33,73.717,96.707,3.864142,0.352,62.813,621.1,2.627,0.79,1.552,22.59,71.209,48.736,4.034306569,11.054,0.001,0.001,0.026,0,0.023,0.142,0.807,0.144,0.098,0.563,0.144,0.937,0.426,0.117,0.107,2.12,27.1
Sonora,Tuolumne,76,38,67.205,75.416,3.693593,0.767,34.631,621.1,2.627,0.79,1.552,22.59,71.209,48.736,4.034306569,11.054,0.001,0.001,0.026,0,0.023,0.142,0.807,0.144,0.098,0.563,0.144,0.937,0.426,0.117,0.107,2.12,27.1
South El Monte,Los Angeles,179,39,57.487,66.761,4.131258,0.2,25.482,363.1,1.695,0.315,1.155,16.808,42.46,15.312,7.353169014,20.883,0.003,0.005,0.133,0,0.017,0.81,0.032,0.818,0.43,0.466,0.826,0.522,0.073,0.268,0.191,3.85,31.3
South Gate,Los Angeles,478,235,66.067,92.996,33.331765,0.35,30.687,329,1.801,0.41,1.012,7.203,45.522,15.287,13.19585635,95.538,0.01,0.004,0.005,0.001,0.02,0.931,0.03,0.945,0.431,0.447,0.893,0.534,0.081,0.241,0.203,4.05,31.5
South Lake Tahoe,El Dorado,342,146,91.699,124.462,23.203823,1.078,34.783,343.9,1.793,0.486,0.892,14.54,42.401,25.88,2.1375,21.717,0.016,0.002,0.053,0.002,0.025,0.327,0.575,0.345,0.201,0.443,0.326,0.846,0.233,0.191,0.163,2.52,15.1
South Pasadena,Los Angeles,273,130,80.422,96.119,16.157101,0.622,69.271,876.9,3.16,0.605,1.466,7.591,84.593,49.229,7.599120235,25.913,0.027,0.001,0.29,0.001,0.074,0.194,0.413,0.222,0.271,0.44,0.389,0.959,0.615,0.103,0.091,2.54,28.6
South San Francisco,San Mateo,1047,384,103.003,147.742,71.982693,1.081,47.176,644.5,2.583,0.49,1.607,17.292,85.076,34.593,7.328227571,66.98,0.021,0.002,0.374,0.019,0.057,0.33,0.197,0.353,0.398,0.603,0.573,0.844,0.325,0.07,0.08,3.14,26.9
Stanton,Orange,84,26,61.31,82.553,3.312733,0.085,35.271,322.2,1.824,0.515,1.282,9.932,48.332,19.36,12.26793651,38.644,0.021,0.01,0.248,0.005,0.034,0.498,0.184,0.529,0.439,0.493,0.679,0.695,0.165,0.204,0.22,3.4,28.8
St. Helena,Napa,152,53,86.702,115.115,7.615913,1.27,55.725,864.9,3.087,0.688,1.483,29.145,85.505,55.41,1.233266533,6.154,0.016,0,0.014,0.002,0.026,0.271,0.671,0.287,0.206,0.582,0.338,0.862,0.491,0.109,0.118,2.33,24.8
Stockton,San Joaquin,1936,1212,83.341,119.942,175.213053,0.581,36.468,191,1.528,0.418,0.967,11.058,46.033,20.688,4.979276796,307.072,0.108,0.007,0.204,0.007,0.083,0.39,0.201,0.505,0.26,0.479,0.461,0.748,0.174,0.14,0.237,3.15,28.4
Suisun City,Solano,149,67,64.413,88.623,8.230301,0.283,44.51,255.8,1.769,0.41,1.58,2.779,71.563,26.721,7.178832117,29.505,0.207,0.006,0.189,0.013,0.082,0.237,0.266,0.45,0.225,0.597,0.308,0.884,0.19,0.1,0.148,3.25,32.5
Sunnyvale,Santa Clara,1447,736,96.07,140.023,138.496361,0.925,98.999,859.1,2.944,0.661,1.949,11.58,109.799,53.133,6.947294225,152.771,0.02,0.004,0.428,0.005,0.039,0.176,0.328,0.2,0.464,0.464,0.557,0.913,0.616,0.07,0.07,2.68,24
Susanville,Lassen,92,51,65.947,86.752,5.137628,0.33,39.643,161.3,1.382,0.389,0.902,10.961,46.863,13.165,1.871752837,14.843,0.139,0.027,0.024,0.016,0.026,0.256,0.513,0.422,0.064,0.483,0.248,0.728,0.084,0.077,0.228,2.27,17.4
Sutter Creek,Amador,24,12,70.183,99.522,1.273606,0.512,32.292,161.3,1.382,0.389,0.902,10.961,46.863,13.165,1.871752837,14.843,0.139,0.027,0.024,0.016,0.026,0.256,0.513,0.422,0.064,0.483,0.248,0.728,0.084,0.077,0.228,2.27,17.4
Taft,Kern,197,113,50.281,63.277,9.300906,1.018,52.188,150.7,1.235,0.419,0.709,10.742,49.844,19.601,0.62031767,9.373,0.023,0.004,0.038,0,0.087,0.385,0.463,0.412,0.268,0.586,0.392,0.722,0.106,0.16,0.245,2.76,20.1
Tehachapi,Kern,85,52,66.751,87.37,5.441405,0.412,38.681,180.3,1.419,0.336,0.792,16.266,42.961,16.108,1.265957447,12.495,0.074,0.012,0.021,0.003,0.025,0.337,0.529,0.423,0.117,0.618,0.283,0.751,0.095,0.093,0.184,2.71,21.1
Temecula,Riverside,385,138,83.948,111.565,19.770097,0.181,53.725,360.5,2.128,0.58,1.629,24.161,83.84,30.397,3.749718076,113.054,0.041,0.009,0.103,0.003,0.066,0.253,0.526,0.303,0.164,0.645,0.216,0.917,0.322,0.106,0.067,3.3,34.2
Temple City,Los Angeles,130,32,71.442,93.069,4.828029,0.133,42.317,632.7,2.298,0.533,1.296,8.305,63.756,27.014,9.068578554,36.365,0.006,0.002,0.594,0.003,0.025,0.198,0.172,0.206,0.487,0.644,0.672,0.848,0.368,0.146,0.11,3.13,30.9
Thousand Oaks,Ventura,609,329,75.872,101.209,42.57374,0.331,74.716,637.1,2.736,0.64,1.896,22.432,101.045,47.423,2.342140651,128.888,0.011,0.003,0.094,0.001,0.038,0.18,0.673,0.194,0.189,0.702,0.241,0.927,0.496,0.096,0.065,2.76,25.8
Tiburon,Marin,44,34,98.237,119.958,4.662109,0.508,171.131,637.1,2.736,0.64,1.896,22.432,101.045,47.423,2.342140651,128.888,0.011,0.003,0.094,0.001,0.038,0.18,0.673,0.194,0.189,0.702,0.241,0.927,0.496,0.096,0.065,2.76,25.8
Torrance,Los Angeles,2019,1089,89.748,111.516,174.370265,1.183,63.384,652.6,2.658,0.502,1.512,25.735,80.862,39.269,7.187255859,147.195,0.025,0.004,0.335,0.005,0.065,0.172,0.394,0.201,0.289,0.55,0.387,0.937,0.471,0.091,0.069,2.65,27.8
Tracy,San Joaquin,586,369,99.42,136.979,59.565048,0.689,51.164,332.3,2.085,0.551,1.542,12.302,81.022,27.092,4.057909091,89.274,0.053,0.003,0.138,0.007,0.094,0.377,0.329,0.433,0.249,0.621,0.412,0.85,0.222,0.097,0.081,3.46,42.5
Trinidad,Humboldt,7,6,49.401,68.851,0.430073,2.057,51.25,332.3,2.085,0.551,1.542,12.302,81.022,27.092,4.057909091,89.274,0.053,0.003,0.138,0.007,0.094,0.377,0.329,0.433,0.249,0.621,0.412,0.85,0.222,0.097,0.081,3.46,42.5
Truckee,Nevada,174,88,72.841,98.123,11.735511,0.723,48.916,332.3,2.085,0.551,1.542,12.302,81.022,27.092,4.057909091,89.274,0.053,0.003,0.138,0.007,0.094,0.377,0.329,0.433,0.249,0.621,0.412,0.85,0.222,0.097,0.081,3.46,42.5
Tulare,Tulare,587,286,58.502,80.999,28.937098,0.469,33.218,163.1,1.335,0.383,0.941,13.262,47.196,18.707,2.999474439,62.779,0.033,0.01,0.022,0.002,0.033,0.565,0.335,0.608,0.203,0.573,0.447,0.718,0.122,0.157,0.222,3.31,20.3
Tulelake,Siskiyou,23,2,50.694,62.778,0.406912,0.414,25.455,163.1,1.335,0.383,0.941,13.262,47.196,18.707,2.999474439,62.779,0.033,0.01,0.022,0.002,0.033,0.565,0.335,0.608,0.203,0.573,0.447,0.718,0.122,0.157,0.222,3.31,20.3
Turlock,Stanislaus,714,291,76.07,112.411,39.133588,0.549,40.362,238.8,1.601,0.423,0.966,13.718,51.555,24.582,4.2998228,72.796,0.023,0.005,0.056,0.002,0.039,0.371,0.504,0.399,0.232,0.521,0.429,0.804,0.229,0.119,0.163,2.89,23.3
