City,url,latestYear,YearsAvailable,County,summaryURL,Population,Employees,FTemployees,MedianPay,MedianPayBenes,TotalComp,CompCostPerResident,MedianPrivatePay
Danville,https://transcal.s3.amazonaws.com/public/export/danville-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Contra Costa,https://transparentcalifornia.com/salaries/2016/danville/summary/,,,,,,,,
Davis,https://transcal.s3.amazonaws.com/public/export/davis-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Yolo,https://transparentcalifornia.com/salaries/2016/davis/summary/,,,,,,,,
Delano,https://transcal.s3.amazonaws.com/public/export/delano-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Kern,https://transparentcalifornia.com/salaries/2016/delano/summary/,,,,,,,,
Del Mar,https://transcal.s3.amazonaws.com/public/export/del mar-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",San Diego,https://transparentcalifornia.com/salaries/2016/del-mar/summary/,,,,,,,,
Del Rey Oaks,https://transcal.s3.amazonaws.com/public/export/del rey oaks-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Monterey,https://transparentcalifornia.com/salaries/2016/del-rey-oaks/summary/,,,,,,,,
Desert Hot Springs,https://transcal.s3.amazonaws.com/public/export/desert hot springs-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Riverside,https://transparentcalifornia.com/salaries/2016/desert-hot-springs/summary/,,,,,,,,
Diamond Bar,https://transcal.s3.amazonaws.com/public/export/diamond bar-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/diamond-bar/summary/,,,,,,,,
Dinuba,https://transcal.s3.amazonaws.com/public/export/dinuba-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Tulare,https://transparentcalifornia.com/salaries/2016/dinuba/summary/,,,,,,,,
Dixon,https://transcal.s3.amazonaws.com/public/export/dixon-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Solano,https://transparentcalifornia.com/salaries/2016/dixon/summary/,,,,,,,,
Dorris,https://transcal.s3.amazonaws.com/public/export/dorris-2013.csv,2013,"2013, 2012, 2011",Siskiyou,https://transparentcalifornia.com/salaries/2013/dorris/summary/,,,,,,,,
Downey,https://transcal.s3.amazonaws.com/public/export/downey-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/downey/summary/,,,,,,,,
Duarte,https://transcal.s3.amazonaws.com/public/export/duarte-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/duarte/summary/,,,,,,,,
Dublin,https://transcal.s3.amazonaws.com/public/export/dublin-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Alameda,https://transparentcalifornia.com/salaries/2016/dublin/summary/,,,,,,,,
East Palo Alto,https://transcal.s3.amazonaws.com/public/export/east palo alto-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Mateo,https://transparentcalifornia.com/salaries/2016/east-palo-alto/summary/,,,,,,,,
Eastvale,https://transcal.s3.amazonaws.com/public/export/eastvale-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Riverside,https://transparentcalifornia.com/salaries/2016/eastvale/summary/,,,,,,,,
El Cajon,https://transcal.s3.amazonaws.com/public/export/el cajon-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Diego,https://transparentcalifornia.com/salaries/2016/el-cajon/summary/,,,,,,,,
El Centro,https://transcal.s3.amazonaws.com/public/export/el centro-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Imperial,https://transparentcalifornia.com/salaries/2016/el-centro/summary/,,,,,,,,
El Cerrito,https://transcal.s3.amazonaws.com/public/export/el cerrito-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Contra Costa,https://transparentcalifornia.com/salaries/2016/el-cerrito/summary/,,,,,,,,
Elk Grove,https://transcal.s3.amazonaws.com/public/export/elk grove-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Sacramento,https://transparentcalifornia.com/salaries/2016/elk-grove/summary/,,,,,,,,
El Monte,https://transcal.s3.amazonaws.com/public/export/el monte-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/el-monte/summary/,,,,,,,,
El Segundo,https://transcal.s3.amazonaws.com/public/export/el segundo-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/el-segundo/summary/,,,,,,,,
Emeryville,https://transcal.s3.amazonaws.com/public/export/emeryville-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Alameda,https://transparentcalifornia.com/salaries/2016/emeryville/summary/,,,,,,,,
Encinitas,https://transcal.s3.amazonaws.com/public/export/encinitas-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Diego,https://transparentcalifornia.com/salaries/2016/encinitas/summary/,,,,,,,,
Escalon,https://transcal.s3.amazonaws.com/public/export/escalon-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",San Joaquin,https://transparentcalifornia.com/salaries/2016/escalon/summary/,,,,,,,,
Escondido,https://transcal.s3.amazonaws.com/public/export/escondido-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Diego,https://transparentcalifornia.com/salaries/2016/escondido/summary/,,,,,,,,
Etna,https://transcal.s3.amazonaws.com/public/export/etna-2016.csv,2016,"2016, 2015, 2014, 2013",Siskiyou,https://transparentcalifornia.com/salaries/2016/etna/summary/,,,,,,,,
