City,url,latestYear,YearsAvailable,County,summaryURL,Population,Employees,FTemployees,MedianPay,MedianPayBenes,TotalComp,CompCostPerResident,MedianPrivatePay
Belvedere,https://transcal.s3.amazonaws.com/public/export/belvedere-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Marin,https://transparentcalifornia.com/salaries/2016/belvedere/summary/,"2,017",27,19,"$114,627 ","$146,070 ","$2,947,347 ","$1,461 ","$209,500 "
Benicia,https://transcal.s3.amazonaws.com/public/export/benicia-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Solano,https://transparentcalifornia.com/salaries/2016/benicia/summary/,"27,780",500,172,"$83,038 ","$113,529 ","$25,917,325 ",$932 ,"$71,518 "
Berkeley,https://transcal.s3.amazonaws.com/public/export/berkeley-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Alameda,https://transparentcalifornia.com/salaries/2016/berkeley/summary/,"118,585","2,181","1,122","$95,938 ","$140,723 ","$196,389,407 ","$1,656 ","$71,530 "
Beverly Hills,https://transcal.s3.amazonaws.com/public/export/beverly hills-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/beverly-hills/summary/,"34,627","1,218",738,"$96,912 ","$129,606 ","$126,357,426 ","$3,649 ","$84,665 "
Big Bear Lake,https://transcal.s3.amazonaws.com/public/export/big bear lake-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Bernardino,https://transparentcalifornia.com/salaries/2016/big-bear-lake/summary/,"5,149",116,79,"$69,908 ","$114,314 ","$10,458,444 ","$2,031 ","$37,365 "
Biggs,https://transcal.s3.amazonaws.com/public/export/biggs-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Butte,https://transparentcalifornia.com/salaries/2016/biggs/summary/,"1,985",17,6,"$53,091 ","$76,569 ","$512,982 ",$258 ,"$31,944 "
Bishop,https://transcal.s3.amazonaws.com/public/export/bishop-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Inyo,https://transparentcalifornia.com/salaries/2016/bishop/summary/,"3,832",151,33,"$85,884 ","$111,659 ","$4,727,508 ","$1,233 ","$41,038 "
Blue Lake,https://transcal.s3.amazonaws.com/public/export/blue lake-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Humboldt,https://transparentcalifornia.com/salaries/2016/blue-lake/summary/,"1,147",26,7,"$45,839 ","$72,325 ","$663,620 ",$578 ,"$31,797 "
Blythe,https://transcal.s3.amazonaws.com/public/export/blythe-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Riverside,https://transparentcalifornia.com/salaries/2016/blythe/summary/,"19,675",110,50,"$61,668 ","$80,646 ","$5,543,215 ",$281 ,"$32,107 "
Bradbury,https://transcal.s3.amazonaws.com/public/export/bradbury-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Los Angeles,https://transparentcalifornia.com/salaries/2016/bradbury/summary/,954,11,3,"$55,287 ","$73,646 ","$271,986 ",$285 ,"$70,000 "
Brawley,https://transcal.s3.amazonaws.com/public/export/brawley-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Imperial,https://transparentcalifornia.com/salaries/2016/brawley/summary/,"25,776",262,97,"$61,518 ","$85,086 ","$13,658,473 ",$529 ,"$34,185 "
Brea,https://transcal.s3.amazonaws.com/public/export/brea-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Orange,https://transparentcalifornia.com/salaries/2016/brea/summary/,"41,351",541,278,"$95,245 ","$126,552 ","$44,096,285 ","$1,066 ","$60,725 "
Brentwood,https://transcal.s3.amazonaws.com/public/export/brentwood-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Contra Costa,https://transparentcalifornia.com/salaries/2016/brentwood/summary/,"56,923",457,246,"$97,953 ","$123,562 ","$36,671,732 ",$644 ,"$61,371 "
Brisbane,https://transcal.s3.amazonaws.com/public/export/brisbane-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Mateo,https://transparentcalifornia.com/salaries/2016/brisbane/summary/,"4,568",181,71,"$105,817 ","$127,090 ","$10,541,403 ","$2,307 ","$73,268 "
Buellton,https://transcal.s3.amazonaws.com/public/export/buellton-2016.csv,2016,"2016, 2015, 2014, 2013",Santa Barbara,https://transparentcalifornia.com/salaries/2016/buellton/summary/,"5,021",40,17,"$72,179 ","$92,348 ","$2,017,316 ",$401 ,"$47,813 "
Buena Park,https://transcal.s3.amazonaws.com/public/export/buena park-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Orange,https://transparentcalifornia.com/salaries/2016/buena-park/summary/,"82,771",518,228,"$93,597 ","$119,268 ","$34,226,965 ",$413 ,"$41,363 "
Burbank,https://transcal.s3.amazonaws.com/public/export/burbank-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/burbank/summary/,"104,583","1,791",973,"$96,485 ","$126,714 ","$165,039,838 ","$1,578 ","$56,495 "
Burlingame,https://transcal.s3.amazonaws.com/public/export/burlingame-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Mateo,https://transparentcalifornia.com/salaries/2016/burlingame/summary/,"30,118",393,216,"$86,444 ","$115,691 ","$30,809,753 ","$1,022 ","$94,432 "
Calabasas,https://transcal.s3.amazonaws.com/public/export/calabasas-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/calabasas/summary/,"24,091",278,82,"$73,409 ","$100,358 ","$11,148,443 ",$462 ,"$91,151 "
Calexico,https://transcal.s3.amazonaws.com/public/export/calexico-2016.csv,2016,"2016, 2015",Imperial,https://transparentcalifornia.com/salaries/2016/calexico/summary/,"39,750",148,112,"$81,559 ","$111,088 ","$13,722,918 ",$345 ,"$29,653 "
California City,https://transcal.s3.amazonaws.com/public/export/california city-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Kern,https://transparentcalifornia.com/salaries/2016/california-city/summary/,"13,360",185,91,"$62,441 ","$85,421 ","$9,643,600 ",$721 ,"$38,750 "
Calimesa,https://transcal.s3.amazonaws.com/public/export/calimesa-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Riverside,https://transparentcalifornia.com/salaries/2016/calimesa/summary/,"8,379",20,9,"$48,825 ","$65,509 ","$935,767 ",$111 ,"$55,083 "
Calipatria,https://transcal.s3.amazonaws.com/public/export/calipatria-2016.csv,2016,"2016, 2015",Imperial,https://transparentcalifornia.com/salaries/2016/calipatria/summary/,"7,511",42,8,"$51,484 ","$64,038 ","$946,890 ",$126 ,"$36,050 "
Calistoga,https://transcal.s3.amazonaws.com/public/export/calistoga-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Napa,https://transparentcalifornia.com/salaries/2016/calistoga/summary/,"5,281",150,37,"$92,728 ","$108,688 ","$5,706,695 ","$1,080 ","$38,980 "
Camarillo,https://transcal.s3.amazonaws.com/public/export/camarillo-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Ventura,https://transparentcalifornia.com/salaries/2016/camarillo/summary/,"66,630",192,119,"$96,878 ","$128,064 ","$18,746,591 ",$281 ,"$59,457 "
Campbell,https://transcal.s3.amazonaws.com/public/export/campbell-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Santa Clara,https://transparentcalifornia.com/salaries/2016/campbell/summary/,"40,788",490,192,"$97,844 ","$126,565 ","$26,635,977 ",$653 ,"$75,573 "
Canyon Lake,https://transcal.s3.amazonaws.com/public/export/canyon lake-2016.csv,2016,"2016, 2015, 2014, 2013",Riverside,https://transparentcalifornia.com/salaries/2016/canyon-lake/summary/,"10,985",19,4,"$55,352 ","$58,831 ","$465,225 ",$42 ,"$55,522 "
Capitola,https://transcal.s3.amazonaws.com/public/export/capitola-2016.csv,2016,"2016, 2015, 2014, 2013, 2011",Santa Cruz,https://transparentcalifornia.com/salaries/2016/capitola/summary/,"10,109",151,55,"$84,506 ","$103,842 ","$7,393,886 ",$731 ,"$55,474 "
Carlsbad,https://transcal.s3.amazonaws.com/public/export/carlsbad-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Diego,https://transparentcalifornia.com/salaries/2016/carlsbad/summary/,"112,008","1,338",615,"$88,632 ","$123,480 ","$92,187,866 ",$823 ,"$79,139 "
Carmel,https://transcal.s3.amazonaws.com/public/export/carmel-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Monterey,https://transparentcalifornia.com/salaries/2016/carmel/summary/,"3,852",101,46,"$92,855 ","$105,255 ","$8,254,198 ","$2,142 ","$60,650 "
Carpinteria,https://transcal.s3.amazonaws.com/public/export/carpinteria-2016.csv,2016,"2016, 2015, 2014, 2013",Santa Barbara,https://transparentcalifornia.com/salaries/2016/carpinteria/summary/,"13,553",116,31,"$67,794 ","$93,043 ","$3,849,985 ",$284 ,"$47,374 "
Carson,https://transcal.s3.amazonaws.com/public/export/carson-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Los Angeles,https://transparentcalifornia.com/salaries/2016/carson/summary/,"92,780","1,120",257,"$74,243 ","$114,036 ","$41,741,742 ",$449 ,"$40,984 "
Cathedral City,https://transcal.s3.amazonaws.com/public/export/cathedral city-2016.csv,2016,"2016, 2015, 2014, 2013",Riverside,https://transparentcalifornia.com/salaries/2016/cathedral-city/summary/,"53,268",198,148,"$111,466 ","$136,087 ","$23,425,016 ",$439 ,"$30,705 "
Ceres,https://transcal.s3.amazonaws.com/public/export/ceres-2016.csv,2016,"2016, 2015, 2014, 2013",Stanislaus,https://transparentcalifornia.com/salaries/2016/ceres/summary/,"47,231",252,167,"$77,286 ","$110,532 ","$21,640,307 ",$458 ,"$36,953 "
Cerritos,https://transcal.s3.amazonaws.com/public/export/cerritos-2016.csv,2016,"2016, 2015, 2014, 2013",Los Angeles,https://transparentcalifornia.com/salaries/2016/cerritos/summary/,"49,797",628,199,"$64,800 ","$99,217 ","$26,694,892 ",$536 ,"$63,496 "
Chico,https://transcal.s3.amazonaws.com/public/export/chico-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Butte,https://transparentcalifornia.com/salaries/2016/chico/summary/,"89,377",446,353,"$79,497 ","$124,644 ","$48,159,332 ",$538 ,"$37,195 "
Chino,https://transcal.s3.amazonaws.com/public/export/chino-2016.csv,2016,"2016, 2015, 2014, 2013",San Bernardino,https://transparentcalifornia.com/salaries/2016/chino/summary/,"83,670",673,337,"$84,465 ","$109,103 ","$47,521,146 ",$567 ,"$43,686 "
Chino Hills,https://transcal.s3.amazonaws.com/public/export/chino hills-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Bernardino,https://transparentcalifornia.com/salaries/2016/chino-hills/summary/,"77,266",325,129,"$77,272 ","$116,959 ","$20,080,128 ",$259 ,"$62,150 "
Chowchilla,https://transcal.s3.amazonaws.com/public/export/chowchilla-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Madera,https://transparentcalifornia.com/salaries/2016/chowchilla/summary/,"18,195",80,40,"$69,731 ","$83,070 ","$4,663,075 ",$256 ,"$27,419 "
Chula Vista,https://transcal.s3.amazonaws.com/public/export/chula vista-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Diego,https://transparentcalifornia.com/salaries/2016/chula-vista/summary/,"260,598","1,394",850,"$94,810 ","$132,775 ","$128,011,222 ",$491 ,"$43,554 "
Citrus Heights,https://transcal.s3.amazonaws.com/public/export/citrus heights-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Sacramento,https://transparentcalifornia.com/salaries/2016/citrus-heights/summary/,"85,954",271,171,"$88,844 ","$113,695 ","$23,051,280 ",$268 ,"$40,042 "
City of Industry,https://transcal.s3.amazonaws.com/public/export/city of industry-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Los Angeles,https://transparentcalifornia.com/salaries/2016/city-of-industry/summary/,266,33,16,"$104,301 ","$188,179 ","$4,073,978 ","$15,315 ","$49,688 "
Claremont,https://transcal.s3.amazonaws.com/public/export/claremont-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/claremont/summary/,"35,827",283,140,"$77,407 ","$106,027 ","$20,320,521 ",$567 ,"$67,237 "
